causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
TUMOR MALIGNO DEL CIEGO,3,"Neoplasia maligna colorrectal que requiere manejo oncológico multidisciplinario con cirugía, quimioterapia y seguimiento en alta especialidad",C18.0,alta,4842.0,0.1027,top_500
TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO,1,"Lesiones superficiales menores que no requieren hospitalización, manejo ambulatorio con curación y analgesia",S09.9,alta,4809.0,0.102,top_500
ALERGIA NO ESPECIFICADA,1,Cuadro alérgico inespecífico de manejo ambulatorio con antihistamínicos y medidas generales,T78.4,media,4753.0,0.1008,top_500
DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMA,3,Complicación grave de DM2 con estado de coma que requiere manejo en UCI con monitoreo continuo y corrección metabólica,E11.0,alta,4690.0,0.0995,top_500
FRACTURA DE LA DIÁFISIS DEL CÚBITO Y DEL RADIO,2,Fractura de antebrazo que requiere hospitalización para reducción quirúrgica con osteosíntesis y rehabilitación,S52.4,alta,4560.0,0.0967,top_500
ABSCESO ANAL,2,Infección perianal que requiere drenaje quirúrgico con hospitalización breve y antibioticoterapia,K61.0,alta,4557.0,0.0967,top_500
NEFRITIS TUBULOINTERSTICIAL AGUDA,3,Proceso inflamatorio renal agudo que requiere manejo hospitalario con posible progresión a insuficiencia renal,N10,alta,4501.0,0.0955,top_500
FÍSTULA ANAL,2,Patología anorrectal que requiere intervención quirúrgica programada con hospitalización breve,K60.3,alta,4448.0,0.0944,top_500
DIABETES MELLITUS TIPO 2,1,Enfermedad metabólica crónica de control ambulatorio con hipoglucemiantes orales y seguimiento periódico,E11.9,alta,4433.0,0.0941,top_500
FRACTURA DE LA DIÁFISIS DE LA TIBIA,2,Fractura de hueso largo que requiere hospitalización para reducción y fijación quirúrgica,S82.2,alta,4405.0,0.0935,top_500
CATARATA SENIL,2,Opacidad cristaliniana que requiere cirugía programada de facoemulsificación con hospitalización de día,H25.9,alta,4389.0,0.0931,top_500
FRACTURA DEL PERONÉ SOLAMENTE,2,Fractura de hueso largo que puede requerir hospitalización para fijación quirúrgica según desplazamiento,S82.4,alta,4372.0,0.0928,top_500
PANCREATITIS IDIOPÁTICA AGUDA,3,"Proceso inflamatorio pancreático agudo que requiere manejo en UCI con ayuno, hidratación intensiva y monitoreo de complicaciones",K85.9,alta,4336.0,0.092,top_500
TUMOR MALIGNO DE LA MAMA,3,"Neoplasia maligna que requiere manejo oncológico integral con cirugía, quimioterapia, radioterapia en alta especialidad",C50.9,alta,4278.0,0.0908,top_500
CALCULO DEL RIÑON Y DEL URETER,2,Litiasis urinaria que puede requerir hospitalización para litotripsia o ureteroscopia según tamaño y localización,N20.2,alta,4247.0,0.0901,top_500
LEIOMIOMA INTRAMURAL DEL ÚTERO,2,Tumor benigno uterino que requiere cirugía programada (miomectomía o histerectomía) con hospitalización,D25.1,alta,4243.0,0.09,top_500
OTRA RUPTURA ESPONTÁNEA DEL (DE LOS) LIGAMENTO(S) DE LA RODILLA,2,Lesión ligamentaria completa que requiere reconstrucción quirúrgica artroscópica con hospitalización,M23.8,alta,4225.0,0.0896,top_500
TRASTORNO RELACIONADO CON EL VAPEO (VAPING),3,Patología pulmonar aguda grave asociada a vapeo que puede requerir UCI con soporte ventilatorio,U07.0,alta,4223.0,0.0896,top_500
ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA RODILLA,1,"Lesión ligamentaria menor sin ruptura completa, manejo ambulatorio con AINES, inmovilización y fisioterapia",S83.6,alta,4204.0,0.0892,top_500
TUMOR MALIGNO DEL OVARIO,3,"Neoplasia ginecológica maligna que requiere cirugía oncológica, quimioterapia y seguimiento en alta especialidad",C56.9,alta,4195.0,0.089,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA TIROIDES,2,"Nódulo tiroideo que requiere biopsia, evaluación endocrinológica y posible tiroidectomía programada",D44.0,alta,4176.0,0.0886,top_500
ABORTO RETENIDO,2,Pérdida gestacional que requiere hospitalización para legrado uterino o manejo médico con vigilancia,O02.1,alta,4154.0,0.0881,top_500
OTROS TRAUMATISMOS ESPECIFICADOS QUE AFECTAN MÚLTIPLES REGIONES DEL CUERPO,3,Politraumatismo que requiere manejo multidisciplinario en hospital con posible ingreso a UCI,T07,media,4151.0,0.0881,top_500
SÍNDROME DEL COLON IRRITABLE CON DIARREA,1,"Trastorno funcional gastrointestinal crónico de manejo ambulatorio con dieta, antiespasmódicos y reguladores",K58.0,alta,4089.0,0.0868,top_500
"DIABETES MELLITUS TIPO 1, SIN MENCIÓN DE COMPLICACIÓN",1,Diabetes insulinodependiente de control ambulatorio con insulinoterapia y monitoreo glucémico continuo,E10.9,alta,4087.0,0.0867,top_500
HIPERPLASIA DE GLÁNDULA DEL ENDOMETRIO,2,Proliferación endometrial que puede requerir legrado diagnóstico o histeroscopia con hospitalización breve,N85.0,alta,4080.0,0.0866,top_500
"INFARTO AGUDO DEL MIOCARDIO, SIN OTRA ESPECIFICACIÓN",3,"Emergencia cardiovascular que requiere UCI con monitoreo continuo, reperfusión y manejo cardiológico especializado",I21.9,alta,4034.0,0.0856,top_500
FRACTURA DE OTROS HUESOS METACARPIANOS,2,Fractura de mano que puede requerir reducción quirúrgica con osteosíntesis y hospitalización breve,S62.3,alta,4026.0,0.0854,top_500
"BRONQUITIS AGUDA, NO ESPECIFICADA",1,Infección respiratoria baja autolimitada de manejo ambulatorio con broncodilatadores y sintomáticos,J20.9,alta,4007.0,0.085,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TESTÍCULO,2,Masa testicular que requiere orquiectomía radical con estudio histopatológico y hospitalización,D40.1,alta,3990.0,0.0847,top_500
PAPILOMAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,1,Infección viral de seguimiento ambulatorio con screening y tratamiento de lesiones según localización,B97.7,alta,3971.0,0.0843,top_500
FRACTURA DE HUESO DEL METATARSO,2,Fractura de pie que puede requerir reducción quirúrgica con fijación según desplazamiento,S92.3,alta,3963.0,0.0841,top_500
TRASTORNO DE DISCO CERVICAL CON MIELOPATÍA,3,Compresión medular cervical que requiere descompresión quirúrgica urgente con hospitalización prolongada y rehabilitación,M50.0,alta,3944.0,0.0837,top_500
OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES,2,Patología discal que puede requerir cirugía programada (discectomía o artrodesis) con hospitalización,M51.8,media,3939.0,0.0836,top_500
"CARCINOMA IN SITU DE LA MAMA, PARTE NO ESPECIFICADA",2,Lesión premaligna mamaria que requiere cirugía conservadora o mastectomía con hospitalización,D05.9,alta,3929.0,0.0834,top_500
ESGUINCES Y TORCEDURAS DE LA COLUMNA LUMBAR,1,"Lesión musculoligamentaria lumbar menor de manejo ambulatorio con analgesia, relajantes musculares y fisioterapia",S33.5,alta,3919.0,0.0831,top_500
CÁLCULO DE CONDUCTO BILIAR CON COLECISTITIS,2,Colelitiasis complicada que requiere colecistectomía urgente con hospitalización y antibioticoterapia,K80.4,alta,3909.0,0.0829,top_500
SÍNDROME DE DIFICULTAD RESPIRATORIA DEL RECIÉN NACIDO,3,Patología neonatal grave que requiere UCIN con soporte ventilatorio y monitoreo continuo,P22.9,alta,3891.0,0.0826,top_500
SÍNDROME DEL TÚNEL CARPIANO,2,Neuropatía compresiva que puede requerir liberación quirúrgica ambulatoria o con hospitalización breve,G56.0,alta,3877.0,0.0823,top_500
FIBROADENOSIS DE MAMA,1,Enfermedad fibroquística benigna de mama de manejo ambulatorio con seguimiento clínico e imagenológico,N60.2,alta,3869.0,0.0821,top_500
"HEMORROIDES NO ESPECIFICADAS, SIN COMPLICACIÓN",1,Enfermedad hemorroidal simple de manejo ambulatorio con medidas higiénico-dietéticas y tratamiento tópico,I84.9,alta,3856.0,0.0818,top_500
OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO,1,Alteración metabólica inespecífica de control ambulatorio con dieta y suplementación según deficiencia,E88.8,media,3815.0,0.0809,top_500
CERVICALGIA,1,"Dolor cervical mecánico de manejo ambulatorio con analgésicos, fisioterapia y medidas posturales",M54.2,alta,3813.0,0.0809,top_500
"BRONCONEUMONÍA, NO ESPECIFICADA",2,Infección respiratoria baja que requiere hospitalización para antibioticoterapia IV y soporte respiratorio,J18.0,alta,3803.0,0.0807,top_500
RINOFARINGITIS AGUDA [RESFRIADO COMÚN],1,Infección viral de vías respiratorias superiores autolimitada de manejo ambulatorio sintomático,J00,alta,3799.0,0.0806,top_500
"COLECISTITIS, NO ESPECIFICADA",2,Inflamación vesicular aguda que requiere colecistectomía con hospitalización y antibioticoterapia,K81.9,alta,3795.0,0.0805,top_500
"EVENTO NO ESPECIFICADO, DE INTENCIÓN NO DETERMINADA, VIVIENDA",1,"Código de circunstancia externa inespecífico, clasificación depende de la lesión resultante",Y34.9,baja,3786.0,0.0803,top_500
MIELOMA MÚLTIPLE,3,"Neoplasia hematológica maligna que requiere quimioterapia, trasplante de médula y seguimiento en alta especialidad oncológica",C90.0,alta,3778.0,0.0802,top_500
LUPUS ERITEMATOSO DISCOIDE,1,Enfermedad autoinmune cutánea de manejo ambulatorio con inmunosupresores y seguimiento reumatológico,L93.0,alta,3774.0,0.0801,top_500
PUBERTAD PRECOZ,1,Desarrollo sexual prematuro de estudio y manejo ambulatorio endocrinológico con posible supresión hormonal,E30.1,alta,3753.0,0.0796,top_500
FRACTURA DE LOS HUESOS DE OTRO(S) DEDO(S) DEL PIE,1,Fractura menor de falange podal de manejo ambulatorio con inmovilización y analgesia,S92.5,alta,3750.0,0.0796,top_500
ESOFAGITIS,1,Inflamación esofágica de manejo ambulatorio con inhibidores de bomba de protones y medidas antirreflujo,K20.9,alta,3729.0,0.0791,top_500
APENDICITIS AGUDA CON ABSCESO PERITONEAL,3,"Complicación quirúrgica grave que requiere apendicectomía urgente, drenaje y manejo en UCI con antibioticoterapia prolongada",K35.3,alta,3719.0,0.0789,top_500
CONTUSIÓN DEL HOMBRO Y DEL BRAZO,1,Traumatismo cerrado menor de manejo ambulatorio con analgesia y medidas físicas,S40.0,alta,3716.0,0.0788,top_500
CONCUSIÓN,2,Traumatismo craneoencefálico que requiere observación hospitalaria breve con vigilancia neurológica,S06.0,alta,3682.0,0.0781,top_500
"CAÍDA EN EL MISMO NIVEL POR DESLIZAMIENTO, TROPEZÓN Y TRASPIÉ, VIVIENDA",1,"Código de circunstancia externa inespecífico, clasificación depende de la lesión resultante",W01.0,baja,3629.0,0.077,top_500
FRACTURA DE LA EPÍFISIS INFERIOR DEL HÚMERO,2,Fractura articular de codo que requiere reducción quirúrgica con osteosíntesis y hospitalización,S42.4,alta,3624.0,0.0769,top_500
ENFERMEDAD DEL REFLUJO GASTROESOFAGICO,1,Trastorno digestivo funcional crónico de manejo ambulatorio con inhibidores de bomba y medidas higiénico-dietéticas,K21.9,alta,3599.0,0.0764,top_500
COLELITIASIS,2,Litiasis vesicular que requiere colecistectomía programada con hospitalización breve,K80.2,alta,3591.0,0.0762,top_500
EXAMEN PARA FINES DE SEGUROS,1,Evaluación médica preventiva ambulatoria sin patología específica,Z02.6,alta,3569.0,0.0757,top_500
"ESTADO DE EMBARAZO, INCIDENTAL",1,"Hallazgo de embarazo sin complicaciones durante evaluación por otra causa, seguimiento prenatal ambulatorio",Z33.1,alta,3538.0,0.0751,top_500
NEUMONÍA DEBIDA A ADENOVIRUS,2,Infección respiratoria viral que puede requerir hospitalización con soporte respiratorio y tratamiento sintomático,J12.0,alta,3500.0,0.0743,top_500
HIPERTROFIA DE LOS CORNETES NASALES,2,Obstrucción nasal crónica que puede requerir turbinoplastia quirúrgica ambulatoria o con hospitalización breve,J34.3,alta,3479.0,0.0738,top_500
FRACTURA DEL CALCÁNEO,2,Fractura de talón que requiere reducción quirúrgica con osteosíntesis y hospitalización prolongada,S92.0,alta,3469.0,0.0736,top_500
GINGIVITIS Y ENFERMEDADES PERIODONTALES,1,"Patología periodontal de manejo odontológico ambulatorio con higiene, raspado y curetaje",K05.6,alta,3441.0,0.073,top_500
TRAUMATISMO DEL MÚSCULO(S) Y TENDÓN(ES) DEL MANGUITO ROTATORIO DEL HOMBRO,2,Lesión tendinosa que puede requerir reparación artroscópica quirúrgica con hospitalización y rehabilitación,S46.0,alta,3430.0,0.0728,top_500
"ENFERMEDAD RENAL CRÓNICA, NO ESPECIFICADA",3,Insuficiencia renal progresiva que requiere manejo nefrológico especializado con posible diálisis o trasplante,N18.9,alta,3425.0,0.0727,top_500
FIEBRE DEL DENGUE [DENGUE CLÁSICO],2,Enfermedad viral febril que puede requerir hospitalización para hidratación IV y vigilancia de signos de alarma,A90,alta,3413.0,0.0724,top_500
"CATARATA SENIL, NO ESPECIFICADA",2,Opacidad cristaliniana que requiere cirugía programada de facoemulsificación con hospitalización de día,H25.9,alta,3407.0,0.0723,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL RIÑÓN,3,Masa renal que requiere nefrectomía parcial o radical con estudio histopatológico y seguimiento oncológico,D41.0,alta,3401.0,0.0722,top_500
FRACTURA DE LA DIÁFISIS DEL HÚMERO,2,Fractura de hueso largo que requiere reducción quirúrgica con osteosíntesis y hospitalización,S42.3,alta,3388.0,0.0719,top_500
TUMOR BENIGNO DEL OVARIO,2,Tumor ovárico que puede requerir ooforectomía laparoscópica o abierta con hospitalización,D27.9,alta,3365.0,0.0714,top_500
"EPILEPSIA, TIPO NO ESPECIFICADO",1,Trastorno neurológico crónico de control ambulatorio con anticonvulsivantes y seguimiento neurológico,G40.9,alta,3361.0,0.0713,top_500
PANCOLITIS ULCERATIVA (CRÓNICA),3,"Enfermedad inflamatoria intestinal severa que requiere manejo con inmunosupresores, biológicos y posible cirugía en alta especialidad",K51.0,alta,3356.0,0.0712,top_500
COLITIS Y GASTROENTERITIS DEBIDAS A RADIACIÓN,2,Complicación de radioterapia que puede requerir hospitalización para manejo sintomático y nutricional,K52.0,alta,3356.0,0.0712,top_500
SOSPECHA DE GLAUCOMA,1,Evaluación oftalmológica ambulatoria para descarte de glaucoma con tonometría y campo visual,H40.9,media,3346.0,0.071,top_500
ENDOMETRIOSIS DEL OVARIO,2,Enfermedad ginecológica que puede requerir cirugía laparoscópica para resección de endometriomas con hospitalización,N80.1,alta,3337.0,0.0708,top_500
"HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES",2,Enfermedad hemorroidal complicada que puede requerir hemorroidectomía quirúrgica con hospitalización,I84.9,alta,3334.0,0.0707,top_500
QUISTE EN DESARROLLO DEL OVARIO,1,Quiste funcional ovárico de manejo ambulatorio con vigilancia ultrasonográfica y analgesia,N83.2,alta,3332.0,0.0707,top_500
"OSTEOPOROSIS POSTMENOPÁUSICA, SIN FRACTURA PATOLÓGICA",1,"Desmineralización ósea crónica de manejo ambulatorio con bifosfonatos, calcio y vitamina D",M81.0,alta,3317.0,0.0704,top_500
ARTRITIS REUMATOIDE SERONEGATIVA,1,Enfermedad autoinmune articular crónica de manejo ambulatorio con DMARDS y seguimiento reumatológico,M06.0,alta,3311.0,0.0702,top_500
"CÁLCULO URINARIO, NO ESPECIFICADO",2,Litiasis urinaria que puede requerir hospitalización para litotripsia o procedimiento endourológico,N20.9,alta,3307.0,0.0702,top_500
LUMBAGO CON CIÁTICA,1,"Dolor lumbar con radiculopatía de manejo ambulatorio con analgésicos, relajantes musculares y fisioterapia",M54.4,alta,3294.0,0.0699,top_500
DISPLASIA CERVICAL LEVE,1,Lesión premaligna cervical de bajo grado de seguimiento ambulatorio con colposcopía y citología periódica,N87.0,alta,3286.0,0.0697,top_500
HIPERCOLESTEROLEMIA PURA,1,"Dislipidemia de control ambulatorio con estatinas, dieta y ejercicio",E78.0,alta,3279.0,0.0696,top_500
HEMORROIDES INTERNAS CON OTRAS COMPLICACIONES,2,Enfermedad hemorroidal complicada que puede requerir hemorroidectomía quirúrgica con hospitalización,I84.2,alta,3277.0,0.0695,top_500
OTRAS COLECISTITIS,2,Inflamación vesicular aguda que requiere colecistectomía con hospitalización y antibioticoterapia,K81.8,alta,3269.0,0.0694,top_500
"GASTRITIS CRÓNICA, NO ESPECIFICADA",1,Inflamación gástrica crónica de manejo ambulatorio con inhibidores de bomba de protones y erradicación de H. pylori,K29.5,alta,3259.0,0.0691,top_500
SÍNDROME DE OVARIO POLIQUÍSTICO,1,"Trastorno endocrino-metabólico de manejo ambulatorio con anticonceptivos, metformina y modificaciones en estilo de vida",E28.2,alta,3249.0,0.0689,top_500
HERIDA DE OTRAS PARTES DE LA CABEZA,1,"Laceración cefálica de manejo ambulatorio con sutura, curación y profilaxis antitetánica",S09.8,alta,3228.0,0.0685,top_500
"ATENCIÓN MÉDICA, NO ESPECIFICADA",1,Consulta médica ambulatoria inespecífica sin diagnóstico claro,Z00.0,baja,3197.0,0.0678,top_500
"COXARTROSIS PRIMARIA, BILATERAL",2,Artrosis bilateral de cadera que puede requerir artroplastia total bilateral programada con hospitalización prolongada,M16.0,alta,3192.0,0.0677,top_500
SINUSITIS MAXILAR CRÓNICA,1,"Infección crónica de senos paranasales de manejo ambulatorio con antibióticos, descongestionantes y posible cirugía endoscópica",J32.0,alta,3184.0,0.0676,top_500
CÁLCULO DE LA VESÍCULA BILIAR SIN COLECISTITIS,2,Litiasis vesicular asintomática o sintomática simple que requiere colecistectomía programada con hospitalización,K80.2,alta,3161.0,0.0671,top_500
LUXACIÓN DE LA ARTICULACIÓN ACROMIOCLAVICULAR,2,Luxación de hombro que puede requerir reducción quirúrgica con reconstrucción ligamentaria y hospitalización,S43.1,alta,3139.0,0.0666,top_500
HERIDA DEL CUERO CABELLUDO,1,"Laceración superficial de manejo ambulatorio con sutura, curación y analgesia",S01.0,alta,3129.0,0.0664,top_500
NEUMONÍA DEBIDA A OTROS VIRUS,2,Infección respiratoria viral que puede requerir hospitalización con soporte respiratorio y tratamiento sintomático,J12.8,alta,3121.0,0.0662,top_500
ENFERMEDAD DIVERTICULAR DEL INTESTINO GRUESO SIN PERFORACIÓN NI ABSCESO,1,Diverticulosis no complicada de manejo ambulatorio con dieta alta en fibra y analgesia ocasional,K57.3,alta,3114.0,0.0661,top_500
"COVID-19, VIRUS NO IDENTIFICADO",2,Infección por SARS-CoV-2 que puede requerir hospitalización según severidad con soporte respiratorio y tratamiento sintomático,U07.1,alta,3107.0,0.0659,top_500
OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES,2,Patología discal que puede requerir cirugía programada (discectomía o artrodesis) con hospitalización,M51.9,media,3100.0,0.0658,top_500
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, CON OBSTRUCCIÓN, SIN GANGRENA",3,Hernia complicada que requiere hernioplastia urgente con hospitalización y vigilancia de viabilidad intestinal,K40.3,alta,3035.0,0.0644,top_500
